0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:05 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:10 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:11 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:12 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:12 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:13 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:13 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:18 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:20 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:20 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:21 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:22 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:24 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:24 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:25 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:25 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:30 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:32 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:32 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:33 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:38 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:40 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:41 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:41 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:46 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
